transaction_id,transaction_date,transaction_time,store_id,product_id,customer_id,quantity,unit_price,discount_percent,discount_amount,total_amount,payment_method,channel
TXN00000019,2024-03-11,11:48:00,ST0048,PRD00063,CUST000512,2,33.85,0,0.0,67.7,Debit Card,In-Store
TXN00000020,2023-10-30,16:27:00,ST0027,PRD00086,CUST000639,1,60.61,0,0.0,60.61,Credit Card,Online
TXN00000021,2024-01-12,19:04:00,ST0024,PRD00100,CUST000244,2,61.09,30,36.65,85.53,Credit Card,In-Store
TXN00000022,2023-03-26,10:07:00,ST0042,PRD00182,CUST000116,1,83.74,0,0.0,83.74,PayPal,In-Store
TXN00000023,2024-01-04,20:52:00,ST0014,PRD00120,ANONYMOUS,1,160.29,20,32.06,128.23,Credit Card,In-Store
TXN00000024,2023-07-15,14:50:00,ST0009,PRD00194,CUST000010,3,49.89,20,29.93,119.74,Credit Card,Online
TXN00000025,2024-02-20,20:47:00,ST0001,PRD00168,CUST000202,2,67.58,10,13.52,121.64,Credit Card,In-Store
TXN00000026,2024-04-30,10:20:00,ST0049,PRD00198,CUST001000,1,89.18,10,8.92,80.26,Credit Card,In-Store
TXN00000027,2024-03-15,18:55:00,ST0034,PRD00079,CUST000761,2,97.17,0,0.0,194.34,Credit Card,In-Store
TXN00000028,2023-11-09,15:43:00,ST0001,PRD00176,CUST000488,3,162.64,0,0.0,487.92,Credit Card,Online
TXN00000029,2024-12-08,14:36:00,ST0024,PRD00008,CUST000051,2,31.01,0,0.0,62.02,Cash,Online
TXN00000030,2024-01-26,18:28:00,ST0033,PRD00022,CUST000255,1,81.55,30,24.46,57.09,Cash,In-Store
TXN00000031,2023-04-06,12:04:00,ST0046,PRD00070,ANONYMOUS,1,150.8,10,15.08,135.72,Cash,Online
TXN00000032,2023-10-18,09:10:00,ST0020,PRD00186,ANONYMOUS,1,146.39,0,0.0,146.39,Credit Card,In-Store
TXN00000033,2024-02-25,12:08:00,ST0008,PRD00047,CUST000658,1,31.44,0,0.0,31.44,Credit Card,In-Store
TXN00000034,2023-11-14,19:29:00,ST0040,PRD00063,CUST000429,1,33.85,0,0.0,33.85,Credit Card,In-Store
TXN00000035,2023-07-26,12:33:00,ST0010,PRD00159,ANONYMOUS,1,144.44,30,43.33,101.11,Debit Card,In-Store
TXN00000036,2024-08-05,16:22:00,ST0039,PRD00165,CUST000132,2,27.68,0,0.0,55.36,Debit Card,In-Store
TXN00000037,2024-02-05,19:11:00,ST0012,PRD00149,CUST000850,2,67.54,10,13.51,121.57,Credit Card,In-Store
TXN00000038,2024-02-07,17:18:00,ST0003,PRD00090,CUST000213,2,60.5,0,0.0,121.0,PayPal,In-Store
TXN00000039,2024-12-15,10:48:00,ST0015,PRD00175,CUST000756,3,139.23,0,0.0,417.69,Gift Card,In-Store
TXN00000040,2024-05-31,16:01:00,ST0024,PRD00147,CUST000345,2,84.65,0,0.0,169.3,Credit Card,In-Store
TXN00000041,2024-10-16,09:16:00,ST0039,PRD00134,CUST000548,2,125.36,0,0.0,250.72,Credit Card,In-Store
TXN00000042,2024-12-27,12:45:00,ST0024,PRD00165,CUST000105,3,27.68,0,0.0,83.04,Credit Card,Online
TXN00000043,2023-05-24,11:18:00,ST0019,PRD00064,ANONYMOUS,1,93.56,0,0.0,93.56,Debit Card,In-Store
TXN00000044,2024-07-01,14:11:00,ST0011,PRD00026,CUST000017,2,144.89,20,57.96,231.82,Cash,In-Store
TXN00000045,2023-02-05,13:28:00,ST0045,PRD00081,CUST000077,3,54.59,0,0.0,163.77,Credit Card,In-Store
TXN00000046,2024-09-04,09:26:00,ST0030,PRD00077,CUST000512,1,52.58,0,0.0,52.58,Cash,In-Store
TXN00000047,2023-01-15,09:26:00,ST0014,PRD00022,CUST000137,1,81.55,10,8.15,73.4,Debit Card,In-Store
TXN00000048,2023-12-01,12:06:00,ST0014,PRD00079,CUST000543,1,97.17,10,9.72,87.45,Cash,In-Store
TXN00000049,2023-11-28,10:42:00,ST0033,PRD00114,ANONYMOUS,1,31.91,0,0.0,31.91,Credit Card,In-Store
TXN00000050,2024-10-27,16:06:00,ST0003,PRD00024,CUST000562,2,109.77,0,0.0,219.54,Debit Card,In-Store
TXN00000051,2023-09-15,20:08:00,ST0050,PRD00117,CUST000965,3,192.8,10,57.84,520.56,Debit Card,In-Store
TXN00000052,2023-06-29,18:28:00,ST0024,PRD00172,ANONYMOUS,2,106.8,0,0.0,213.6,Debit Card,Online
TXN00000053,2024-06-07,10:19:00,ST0016,PRD00178,CUST000020,2,29.48,0,0.0,58.96,Cash,In-Store
TXN00000054,2024-03-14,11:24:00,ST0006,PRD00021,ANONYMOUS,2,49.14,10,9.83,88.45,Credit Card,In-Store
TXN00000055,2024-10-19,19:50:00,ST0050,PRD00158,CUST000457,1,68.98,0,0.0,68.98,Credit Card,In-Store
TXN00000056,2024-06-17,12:34:00,ST0034,PRD00105,CUST000313,2,62.85,0,0.0,125.7,Credit Card,In-Store
TXN00000057,2024-11-11,10:55:00,ST0016,PRD00134,CUST000248,3,125.36,10,37.61,338.47,Debit Card,Online
TXN00000058,2023-03-13,17:53:00,ST0004,PRD00056,CUST000172,3,32.95,0,0.0,98.85,Cash,In-Store
TXN00000059,2023-08-30,11:38:00,ST0035,PRD00166,CUST000999,1,224.43,0,0.0,224.43,Credit Card,In-Store
TXN00000060,2023-11-07,14:25:00,ST0037,PRD00077,CUST000662,1,52.58,0,0.0,52.58,Gift Card,Online
TXN00000061,2023-06-21,16:01:00,ST0035,PRD00180,CUST000591,1,131.83,0,0.0,131.83,Debit Card,Online
TXN00000062,2024-03-13,16:19:00,ST0022,PRD00191,ANONYMOUS,2,137.64,0,0.0,275.28,Credit Card,Online
TXN00000063,2023-10-18,12:09:00,ST0050,PRD00172,ANONYMOUS,1,106.8,0,0.0,106.8,Debit Card,In-Store
TXN00000064,2023-01-05,14:24:00,ST0042,PRD00132,CUST000567,1,23.36,30,7.01,16.35,Gift Card,Online
TXN00000065,2023-11-12,18:10:00,ST0049,PRD00025,CUST000062,2,75.68,0,0.0,151.36,Credit Card,In-Store
TXN00000066,2024-03-22,19:24:00,ST0027,PRD00181,CUST000874,3,147.19,0,0.0,441.57,Debit Card,Online
TXN00000067,2023-09-10,19:09:00,ST0003,PRD00129,CUST000931,1,103.12,0,0.0,103.12,Debit Card,In-Store
TXN00000068,2024-09-11,10:41:00,ST0010,PRD00094,CUST000794,1,36.78,0,0.0,36.78,Cash,Online
TXN00000069,2024-02-12,13:44:00,ST0006,PRD00184,CUST000575,2,38.21,0,0.0,76.42,Debit Card,In-Store
TXN00000070,2024-05-27,14:52:00,ST0030,PRD00112,CUST000130,3,88.56,0,0.0,265.68,Debit Card,In-Store
TXN00000071,2023-10-03,09:06:00,ST0033,PRD00112,ANONYMOUS,2,88.56,0,0.0,177.12,Debit Card,In-Store
TXN00000072,2024-12-14,20:08:00,ST0034,PRD00105,CUST000233,2,62.85,0,0.0,125.7,Credit Card,In-Store
TXN00000073,2024-05-13,20:11:00,ST0008,PRD00162,CUST000291,1,165.74,0,0.0,165.74,Credit Card,In-Store
TXN00000074,2023-09-23,11:05:00,ST0034,PRD00157,CUST000861,4,46.5,0,0.0,186.0,PayPal,In-Store
TXN00000075,2023-03-29,19:48:00,ST0019,PRD00022,CUST000803,1,81.55,0,0.0,81.55,Credit Card,In-Store
TXN00000076,2023-01-10,15:38:00,ST0001,PRD00014,ANONYMOUS,1,77.17,50,38.58,38.59,Debit Card,In-Store
TXN00000077,2024-05-12,12:23:00,ST0025,PRD00154,CUST000942,2,67.88,0,0.0,135.76,Gift Card,Online
TXN00000078,2024-01-23,15:46:00,ST0027,PRD00119,CUST000005,2,86.99,30,52.19,121.79,PayPal,In-Store
TXN00000079,2023-01-27,19:42:00,ST0043,PRD00102,CUST000339,2,143.15,20,57.26,229.04,Credit Card,Online
TXN00000080,2024-06-11,09:51:00,ST0014,PRD00002,CUST000445,1,34.98,0,0.0,34.98,Debit Card,In-Store
TXN00000081,2024-11-25,16:42:00,ST0050,PRD00173,CUST000844,1,99.89,0,0.0,99.89,Credit Card,In-Store
TXN00000082,2024-01-30,16:50:00,ST0014,PRD00056,CUST000784,1,32.95,50,16.48,16.47,Cash,In-Store
TXN00000083,2023-11-05,16:42:00,ST0046,PRD00166,ANONYMOUS,3,224.43,10,67.33,605.96,Gift Card,In-Store
TXN00000084,2023-09-07,14:57:00,ST0006,PRD00038,CUST000992,1,138.1,0,0.0,138.1,Cash,Online
TXN00000085,2023-10-15,17:40:00,ST0018,PRD00170,CUST000923,1,72.1,0,0.0,72.1,Debit Card,Online
TXN00000086,2023-04-03,15:58:00,ST0025,PRD00084,CUST000827,2,192.18,0,0.0,384.36,Debit Card,Online
TXN00000087,2024-10-31,10:07:00,ST0046,PRD00156,CUST000307,2,51.48,0,0.0,102.96,Cash,In-Store
TXN00000088,2023-12-15,18:47:00,ST0014,PRD00040,CUST000175,2,164.41,0,0.0,328.82,Gift Card,In-Store
TXN00000089,2023-11-15,19:59:00,ST0045,PRD00074,CUST000575,1,101.62,0,0.0,101.62,Debit Card,In-Store
TXN00000090,2024-06-16,16:20:00,ST0049,PRD00083,ANONYMOUS,2,114.84,0,0.0,229.68,Credit Card,In-Store
TXN00000091,2023-10-31,19:54:00,ST0041,PRD00163,ANONYMOUS,2,75.39,0,0.0,150.78,Cash,In-Store
TXN00000092,2024-09-05,12:31:00,ST0042,PRD00042,CUST000980,1,29.27,10,2.93,26.34,Debit Card,In-Store
TXN00000093,2024-12-22,12:44:00,ST0004,PRD00120,ANONYMOUS,4,160.29,0,0.0,641.16,Debit Card,In-Store
TXN00000094,2023-07-03,17:25:00,ST0033,PRD00108,CUST000907,2,64.42,10,12.88,115.96,Gift Card,In-Store
TXN00000095,2024-03-08,12:44:00,ST0027,PRD00139,CUST000724,2,62.09,0,0.0,124.18,Credit Card,Online
TXN00000096,2023-04-10,11:36:00,ST0049,PRD00019,CUST000983,1,75.71,0,0.0,75.71,Credit Card,In-Store
TXN00000097,2024-03-28,18:06:00,ST0020,PRD00058,CUST000269,2,28.88,0,0.0,57.76,Credit Card,In-Store
TXN00000098,2024-01-21,11:03:00,ST0035,PRD00068,CUST000137,4,145.17,20,116.14,464.54,Gift Card,In-Store
TXN00000099,2024-06-11,10:15:00,ST0049,PRD00156,CUST000864,2,51.48,10,10.3,92.66,Credit Card,Online
TXN00000100,2024-05-15,19:24:00,ST0050,PRD00069,CUST000514,1,134.62,0,0.0,134.62,Debit Card,In-Store
TXN00000101,2024-10-09,19:42:00,ST0028,PRD00004,ANONYMOUS,2,140.31,0,0.0,280.62,Cash,In-Store
TXN00000102,2023-01-24,16:41:00,ST0048,PRD00171,CUST000135,1,78.07,50,39.03,39.04,Cash,Online
TXN00000103,2023-11-02,20:01:00,ST0007,PRD00117,ANONYMOUS,1,192.8,0,0.0,192.8,Credit Card,Online
TXN00000104,2024-07-23,19:07:00,ST0043,PRD00174,ANONYMOUS,2,124.25,50,124.25,124.25,Credit Card,In-Store
TXN00000105,2024-11-05,10:02:00,ST0012,PRD00071,ANONYMOUS,2,73.07,10,14.61,131.53,Debit Card,In-Store
TXN00000106,2024-08-11,17:19:00,ST0011,PRD00029,CUST000056,1,185.56,0,0.0,185.56,Gift Card,In-Store
TXN00000107,2024-07-11,16:08:00,ST0001,PRD00092,CUST000712,1,108.16,20,21.63,86.53,Debit Card,Online
TXN00000108,2024-12-12,09:15:00,ST0027,PRD00191,CUST000953,1,137.64,0,0.0,137.64,Debit Card,In-Store
TXN00000109,2023-07-12,11:46:00,ST0015,PRD00049,CUST000296,1,37.02,50,18.51,18.51,Credit Card,Online
TXN00000110,2023-03-18,13:43:00,ST0018,PRD00134,CUST000223,2,125.36,10,25.07,225.65,Credit Card,Online
TXN00000111,2024-12-12,18:42:00,ST0015,PRD00025,CUST000370,1,75.68,0,0.0,75.68,Debit Card,In-Store
TXN00000112,2024-03-05,10:34:00,ST0024,PRD00156,CUST000832,2,51.48,0,0.0,102.96,Cash,In-Store
TXN00000113,2024-12-01,11:55:00,ST0005,PRD00119,CUST000497,2,86.99,0,0.0,173.98,Debit Card,In-Store
TXN00000114,2023-10-08,20:56:00,ST0030,PRD00083,CUST000146,1,114.84,0,0.0,114.84,Cash,In-Store
TXN00000115,2024-08-25,18:06:00,ST0041,PRD00032,CUST000971,3,111.36,0,0.0,334.08,Debit Card,In-Store
TXN00000116,2023-06-24,11:16:00,ST0030,PRD00071,CUST000934,1,73.07,10,7.31,65.76,Credit Card,In-Store
TXN00000117,2024-12-04,20:40:00,ST0010,PRD00044,ANONYMOUS,1,92.84,0,0.0,92.84,Cash,In-Store
TXN00000118,2024-12-25,16:32:00,ST0050,PRD00150,CUST000248,2,70.22,10,14.04,126.4,Gift Card,In-Store
TXN00000119,2023-10-10,14:54:00,ST0043,PRD00086,CUST000128,3,60.61,0,0.0,181.83,Credit Card,In-Store
TXN00000120,2024-10-11,13:35:00,ST0017,PRD00031,ANONYMOUS,1,48.8,0,0.0,48.8,Cash,Online
TXN00000121,2023-01-11,19:43:00,ST0035,PRD00181,CUST000184,3,147.19,30,132.47,309.1,Credit Card,In-Store
TXN00000122,2024-02-20,20:42:00,ST0014,PRD00003,CUST000975,1,122.23,0,0.0,122.23,Credit Card,In-Store
TXN00000123,2024-09-13,11:32:00,ST0011,PRD00186,CUST000239,1,146.39,0,0.0,146.39,Credit Card,In-Store
TXN00000124,2023-02-22,12:53:00,ST0030,PRD00068,CUST000156,1,145.17,0,0.0,145.17,PayPal,In-Store
TXN00000125,2023-10-25,13:59:00,ST0020,PRD00097,CUST000869,1,114.94,10,11.49,103.45,Credit Card,In-Store
TXN00000126,2024-04-19,14:06:00,ST0041,PRD00020,CUST000847,2,178.42,10,35.68,321.16,Credit Card,In-Store
TXN00000127,2023-12-25,10:33:00,ST0012,PRD00143,CUST000142,2,27.78,10,5.56,50.0,Credit Card,In-Store
TXN00000128,2024-02-25,15:23:00,ST0041,PRD00003,ANONYMOUS,1,122.23,0,0.0,122.23,Credit Card,In-Store
TXN00000129,2024-01-09,16:10:00,ST0012,PRD00191,CUST000151,1,137.64,30,41.29,96.35,Debit Card,In-Store
TXN00000130,2023-12-29,13:02:00,ST0001,PRD00128,CUST000983,2,98.33,0,0.0,196.66,Cash,In-Store
TXN00000131,2024-02-09,19:17:00,ST0025,PRD00011,ANONYMOUS,1,186.79,0,0.0,186.79,PayPal,In-Store
TXN00000132,2024-03-07,10:50:00,ST0041,PRD00044,CUST000550,1,92.84,10,9.28,83.56,Cash,In-Store
TXN00000133,2023-05-10,14:27:00,ST0042,PRD00005,CUST000324,1,137.0,0,0.0,137.0,Debit Card,In-Store
TXN00000134,2024-03-20,11:46:00,ST0020,PRD00173,ANONYMOUS,1,99.89,10,9.99,89.9,Credit Card,In-Store
TXN00000135,2023-09-13,20:50:00,ST0008,PRD00097,CUST000338,1,114.94,10,11.49,103.45,Cash,In-Store
TXN00000136,2024-12-18,11:25:00,ST0012,PRD00074,CUST000812,2,101.62,0,0.0,203.24,Credit Card,In-Store
TXN00000137,2023-10-08,09:24:00,ST0010,PRD00154,ANONYMOUS,4,67.88,0,0.0,271.52,Cash,Online
TXN00000138,2024-06-21,19:03:00,ST0016,PRD00083,CUST000659,1,114.84,0,0.0,114.84,Credit Card,In-Store
TXN00000139,2023-04-23,11:02:00,ST0019,PRD00126,CUST000337,1,64.06,0,0.0,64.06,PayPal,In-Store
TXN00000140,2023-02-23,13:31:00,ST0024,PRD00080,CUST000385,2,130.14,0,0.0,260.28,Credit Card,In-Store
TXN00000141,2023-12-09,14:47:00,ST0007,PRD00005,CUST000178,1,137.0,0,0.0,137.0,Credit Card,In-Store
TXN00000142,2023-09-01,20:38:00,ST0015,PRD00136,ANONYMOUS,2,124.47,0,0.0,248.94,Cash,In-Store
TXN00000143,2023-02-12,18:21:00,ST0014,PRD00075,CUST000140,2,103.12,0,0.0,206.24,PayPal,In-Store
TXN00000144,2024-04-30,17:45:00,ST0014,PRD00189,CUST000069,3,82.34,0,0.0,247.02,Cash,In-Store
TXN00000145,2024-07-27,15:33:00,ST0028,PRD00159,CUST000163,4,144.44,30,173.33,404.43,Cash,In-Store
TXN00000146,2023-06-20,20:12:00,ST0009,PRD00106,ANONYMOUS,1,60.32,0,0.0,60.32,Debit Card,Online
TXN00000147,2024-05-21,15:25:00,ST0042,PRD00026,ANONYMOUS,2,144.89,10,28.98,260.8,Debit Card,In-Store
TXN00000148,2023-07-31,20:46:00,ST0011,PRD00081,CUST000012,1,54.59,50,27.3,27.29,Credit Card,In-Store
TXN00000149,2023-11-07,12:18:00,ST0020,PRD00098,CUST000234,2,129.53,0,0.0,259.06,Cash,In-Store
TXN00000150,2024-10-16,12:34:00,ST0019,PRD00049,CUST000083,1,37.02,0,0.0,37.02,Gift Card,In-Store
TXN00000151,2023-01-02,11:26:00,ST0050,PRD00131,CUST000979,2,68.35,50,68.35,68.35,Credit Card,In-Store
TXN00000152,2023-11-29,09:34:00,ST0001,PRD00128,CUST000385,3,98.33,0,0.0,294.99,Credit Card,In-Store
TXN00000153,2024-12-05,12:37:00,ST0018,PRD00198,CUST000601,1,89.18,0,0.0,89.18,Credit Card,Online
TXN00000154,2023-06-09,11:29:00,ST0035,PRD00131,ANONYMOUS,1,68.35,10,6.84,61.51,Cash,In-Store
TXN00000155,2023-06-30,11:52:00,ST0041,PRD00071,CUST000032,1,73.07,0,0.0,73.07,Cash,Online
TXN00000156,2024-12-04,19:25:00,ST0005,PRD00056,ANONYMOUS,2,32.95,0,0.0,65.9,Credit Card,In-Store
TXN00000157,2024-06-23,19:59:00,ST0001,PRD00033,CUST000032,1,48.12,0,0.0,48.12,Debit Card,In-Store
TXN00000158,2023-05-16,09:50:00,ST0006,PRD00098,ANONYMOUS,1,129.53,0,0.0,129.53,Debit Card,In-Store
TXN00000159,2024-07-09,11:19:00,ST0025,PRD00028,CUST000660,2,94.07,50,94.07,94.07,PayPal,In-Store
TXN00000160,2024-05-05,09:06:00,ST0004,PRD00194,CUST000864,1,49.89,0,0.0,49.89,Cash,In-Store
TXN00000161,2023-04-16,15:24:00,ST0034,PRD00056,ANONYMOUS,2,32.95,0,0.0,65.9,Cash,In-Store
TXN00000162,2023-12-28,10:14:00,ST0016,PRD00136,CUST000992,2,124.47,0,0.0,248.94,Credit Card,In-Store
TXN00000163,2023-10-16,11:27:00,ST0025,PRD00041,CUST000123,1,50.34,0,0.0,50.34,Debit Card,In-Store
TXN00000164,2024-09-06,13:22:00,ST0035,PRD00059,CUST000952,1,25.97,0,0.0,25.97,Debit Card,In-Store
TXN00000165,2023-10-05,11:49:00,ST0028,PRD00097,CUST000986,3,114.94,0,0.0,344.82,Debit Card,In-Store
TXN00000166,2023-11-24,13:09:00,ST0037,PRD00171,CUST000156,1,78.07,10,7.81,70.26,Gift Card,In-Store
TXN00000167,2023-11-27,15:38:00,ST0012,PRD00136,CUST000679,3,124.47,10,37.34,336.07,Credit Card,In-Store
TXN00000168,2023-05-22,12:24:00,ST0017,PRD00136,CUST000682,2,124.47,10,24.89,224.05,Credit Card,In-Store
TXN00000169,2024-08-17,09:23:00,ST0043,PRD00083,CUST000322,3,114.84,0,0.0,344.52,Cash,Online
TXN00000170,2023-05-17,17:59:00,ST0004,PRD00126,CUST000189,3,64.06,0,0.0,192.18,Credit Card,Online
TXN00000171,2023-09-06,09:44:00,ST0016,PRD00020,CUST000163,1,178.42,0,0.0,178.42,Credit Card,Online
TXN00000172,2024-01-16,14:09:00,ST0007,PRD00025,CUST000817,1,75.68,10,7.57,68.11,Cash,In-Store
TXN00000173,2023-09-08,11:47:00,ST0048,PRD00149,ANONYMOUS,1,67.54,0,0.0,67.54,Credit Card,In-Store
TXN00000174,2024-04-26,11:03:00,ST0025,PRD00158,CUST000961,1,68.98,0,0.0,68.98,Credit Card,In-Store
TXN00000175,2024-09-10,16:35:00,ST0042,PRD00064,ANONYMOUS,2,93.56,10,18.71,168.41,Debit Card,In-Store
TXN00000176,2024-08-08,11:47:00,ST0016,PRD00152,CUST000374,1,37.8,0,0.0,37.8,Credit Card,In-Store
TXN00000177,2024-02-15,16:30:00,ST0016,PRD00139,ANONYMOUS,2,62.09,0,0.0,124.18,Debit Card,In-Store
TXN00000178,2024-10-30,12:17:00,ST0030,PRD00065,ANONYMOUS,2,44.71,0,0.0,89.42,Debit Card,In-Store
TXN00000179,2023-04-17,10:04:00,ST0050,PRD00120,ANONYMOUS,1,160.29,0,0.0,160.29,Cash,In-Store
TXN00000180,2024-09-03,10:36:00,ST0022,PRD00074,CUST000878,1,101.62,0,0.0,101.62,Credit Card,In-Store
TXN00000181,2024-07-31,09:22:00,ST0040,PRD00016,ANONYMOUS,3,70.62,0,0.0,211.86,PayPal,In-Store
TXN00000182,2024-02-12,20:32:00,ST0024,PRD00139,CUST000177,1,62.09,0,0.0,62.09,Credit Card,In-Store
TXN00000183,2024-05-29,09:18:00,ST0010,PRD00009,CUST000523,2,39.15,10,7.83,70.47,Debit Card,In-Store
TXN00000184,2023-06-05,19:09:00,ST0006,PRD00031,CUST000318,2,48.8,0,0.0,97.6,Debit Card,In-Store
TXN00000185,2024-05-28,14:18:00,ST0050,PRD00185,CUST000474,1,131.63,10,13.16,118.47,Debit Card,In-Store
TXN00000186,2024-09-30,18:38:00,ST0035,PRD00014,CUST000943,2,77.17,10,15.43,138.91,Credit Card,In-Store
TXN00000187,2023-06-06,10:31:00,ST0041,PRD00032,CUST000193,1,111.36,0,0.0,111.36,Credit Card,In-Store
TXN00000188,2024-04-10,10:11:00,ST0020,PRD00064,ANONYMOUS,1,93.56,0,0.0,93.56,Credit Card,Online
TXN00000189,2023-09-22,16:02:00,ST0018,PRD00158,CUST000190,3,68.98,0,0.0,206.94,Gift Card,In-Store
TXN00000190,2023-10-21,19:26:00,ST0009,PRD00157,CUST000861,2,46.5,0,0.0,93.0,Credit Card,Online
TXN00000191,2023-09-27,10:18:00,ST0003,PRD00020,CUST000333,2,178.42,0,0.0,356.84,Cash,Online
TXN00000192,2023-06-12,16:41:00,ST0005,PRD00084,CUST000635,1,192.18,0,0.0,192.18,Credit Card,Online
TXN00000193,2023-04-22,14:21:00,ST0007,PRD00140,CUST000275,1,101.24,10,10.12,91.12,Credit Card,Online
TXN00000194,2023-08-06,11:40:00,ST0040,PRD00040,CUST000062,3,164.41,0,0.0,493.23,PayPal,In-Store
TXN00000195,2023-11-24,16:13:00,ST0050,PRD00134,ANONYMOUS,1,125.36,0,0.0,125.36,Debit Card,In-Store
TXN00000196,2023-08-05,13:25:00,ST0035,PRD00100,CUST000240,3,61.09,0,0.0,183.27,Cash,In-Store
TXN00000197,2023-11-02,09:05:00,ST0037,PRD00150,CUST000921,2,70.22,0,0.0,140.44,Cash,Online
TXN00000198,2023-12-17,17:44:00,ST0022,PRD00065,ANONYMOUS,4,44.71,10,17.88,160.96,Credit Card,In-Store
TXN00000199,2024-12-14,19:37:00,ST0048,PRD00138,CUST000765,2,134.12,0,0.0,268.24,Cash,In-Store
TXN00000200,2023-11-28,16:55:00,ST0024,PRD00005,ANONYMOUS,2,137.0,10,27.4,246.6,PayPal,In-Store
TXN00000201,2023-04-27,11:40:00,ST0034,PRD00097,CUST000005,2,114.94,10,22.99,206.89,PayPal,Online
TXN00000202,2024-10-16,11:38:00,ST0007,PRD00013,CUST000255,3,131.98,10,39.59,356.35,Debit Card,Online
TXN00000203,2023-08-10,13:32:00,ST0014,PRD00005,CUST000498,1,137.0,0,0.0,137.0,Credit Card,In-Store
TXN00000204,2024-12-17,14:07:00,ST0039,PRD00148,CUST000485,1,56.57,10,5.66,50.91,Credit Card,In-Store
TXN00000205,2024-04-14,19:44:00,ST0012,PRD00198,CUST000744,2,89.18,10,17.84,160.52,Credit Card,Online
TXN00000206,2024-10-11,18:59:00,ST0007,PRD00029,CUST000145,1,185.56,0,0.0,185.56,Debit Card,Online
TXN00000207,2023-04-17,15:13:00,ST0045,PRD00033,CUST000689,1,48.12,0,0.0,48.12,Debit Card,In-Store
TXN00000208,2024-04-10,16:26:00,ST0008,PRD00076,CUST000171,1,72.1,0,0.0,72.1,Gift Card,Online
TXN00000209,2023-01-08,15:43:00,ST0016,PRD00180,CUST000906,4,131.83,20,105.46,421.86,Credit Card,In-Store
TXN00000210,2023-01-05,17:52:00,ST0034,PRD00011,ANONYMOUS,3,186.79,10,56.04,504.33,Debit Card,In-Store
TXN00000211,2023-12-10,15:53:00,ST0048,PRD00155,CUST000537,1,121.77,0,0.0,121.77,Debit Card,In-Store
TXN00000212,2024-08-14,10:45:00,ST0030,PRD00069,CUST000441,1,134.62,0,0.0,134.62,Credit Card,In-Store
TXN00000213,2024-05-31,11:20:00,ST0048,PRD00139,CUST000864,1,62.09,0,0.0,62.09,Debit Card,In-Store
TXN00000214,2023-04-06,20:34:00,ST0035,PRD00004,CUST000816,1,140.31,0,0.0,140.31,Cash,In-Store
TXN00000215,2024-08-08,12:19:00,ST0009,PRD00163,CUST000491,1,75.39,0,0.0,75.39,Credit Card,In-Store
TXN00000216,2024-07-02,19:01:00,ST0030,PRD00096,CUST000378,2,72.64,0,0.0,145.28,PayPal,In-Store
TXN00000217,2023-04-24,11:05:00,ST0050,PRD00042,ANONYMOUS,1,29.27,0,0.0,29.27,Credit Card,In-Store
